group,hrisField,prismaField,xlsColumn,xlsSource,status,completeness,action
Identity,Employee ID,Employee.employeeId,Employee No.,"Employee No. (PBCMEY | TIN Library!A1, 100%); Employee No. (EXPATS!A1, 100%); Employee No. (TIN LIBRARY!A1, 85%)",MATCH,1,"Use as the migration key across employee, attendance, payroll, and reporting-line records."
Identity,First name,Person.personalInfo.firstName,First Name,"First Name (PBCMEY | TIN Library!G1, 100%); First Name (EXPATS!G1, 100%); First Name (TIN LIBRARY!H1, 100%)",MATCH,1,Import into the linked Person legal-name record.
Identity,Middle name,Person.personalInfo.middleName,Middle Name,"Middle Name (EXPATS!H1, 100%); Middle Name (TIN LIBRARY!I1, 99%); Middle Name (PBCMEY | TIN Library!H1, 98%)",MATCH,1,Import when present; allow blank only when client confirms no middle name.
Identity,Last name,Person.personalInfo.lastName,Last Name,"Last Name (PBCMEY | TIN Library!F1, 100%); Last Name (EXPATS!F1, 100%); Last Name (TIN LIBRARY!G1, 100%)",MATCH,1,Import into the linked Person legal-name record.
Identity,Full employee name,Person.personalInfo,Employee Name,"Employee Name (PBCMEY | TIN Library!D1, 100%); Employee Name (EXPATS!D1, 100%); Employee Name (TIN LIBRARY!E1, 100%)",DERIVED,1,Use only as fallback or audit reference because split first/middle/last columns are cleaner.
Identity,Date of birth,Person.personalInfo.dateOfBirth,Birthday,"Birthday (PBCMEY | TIN Library!L1, 100%); Birthday (EXPATS!K1, 100%); Birthday (TIN LIBRARY!M1, 100%)",MATCH,1,Import as employee identity verifier and duplicate guard.
Identity,Gender,Person.personalInfo.gender,,-,MISSING,0,Client must provide or confirm exclusion/default policy.
Identity,Nationality,Person.personalInfo.nationality,,-,MISSING,0,Client must provide for complete employee identity records.
Contact,Email,Person.contactInfo.email,,-,MISSING,0,Needed for account setup and notifications unless autogenerated.
Contact,Phone,Person.contactInfo.phones,,-,MISSING,0,Import when available for contact and emergency workflows.
Contact,Registered address,ContactAddress.street,Registered Address,"Registered Address (PBCMEY | TIN Library!J1, 100%); Registered Address (EXPATS!I1, 100%); Registered Address (TIN LIBRARY!K1, 100%)",MATCH,1,Import as combined street/address when split address fields are unavailable.
Contact,Postal/zip code,ContactAddress.postalCode,Zip Code,"Zip Code (TIN LIBRARY!L1, 100%); Zip Code (PBCMEY | TIN Library!K1, 99%); Zip Code (EXPATS!J1, 0%)",MATCH,0.9989669421487604,Import into the linked Person address record.
Organization,Department,Employee.departmentId,Division,"Division (PBCMEY | TIN Library!E1, 100%); Division (EXPATS!E1, 100%); Section (TIN LIBRARY!F1, 100%)",REFERENCE,1,Map workbook value to canonical Department records before import.
Organization,Position,Employee.positionId,Position,"Position (PBCMEY | TIN Library!Q1, 100%); Position (EXPATS!P1, 100%); Position (TIN LIBRARY!R1, 100%)",REFERENCE,1,Map workbook value to canonical Position records before import.
Organization,Level/grade/rank,Employee.levelId,,-,MISSING,0,Client must provide employee level or an approved position-to-level mapping.
Organization,Reports-to employee,Employee.reportToId,,-,MISSING,0,"Required for most employees before workflow, manager views, and org chart can be trusted."
Employment,Hire date,Employee.employmentHireDate,Date Hired,"Date Hired (PBCMEY | TIN Library!C1, 100%); Date Hired (EXPATS!C1, 100%); Date Hired (TIN LIBRARY!D1, 100%)",MATCH,1,Import as official hire date.
Employment,Employment start date,Employee.employmentStartDate,,-,MISSING,0,"If missing, default to hire date only with client signoff."
Employment,Employment status,Employee.employmentStatus,Active as of Dec.2024,"Active as of Dec.2024 (PBCMEY | TIN Library!S1, 100%); Active as of Dec.2024 (EXPATS!R1, 100%); Active as of Dec. 2025 (TIN LIBRARY!T1, 100%)",DERIVED,1,Derive ACTIVE/INACTIVE/RESIGNED from active and resignation markers after client confirmation.
Employment,Resignation/termination date,Employee.employmentTerminationDate,Date of Resignation,"Date of Resignation (EXPATS!S1, 35%); Date of Resignation (TIN LIBRARY!U1, 12%); DATE of RESIGNATION (PBCMEY | TIN Library!T1, 9%)",DERIVED,0.35294117647058826,Use to avoid importing former employees as active payroll subjects.
Employment,Employment type,Employee.employmentType,,-,MISSING,0,"Client must classify as REGULAR, PROBATIONARY, CONTRACTUAL, PART_TIME, CONSULTANT, or INTERN."
Employment,Workforce source,Employee.workforceSource,,-,MISSING,0,Client must mark direct versus agency workforce.
Employment,Work location,Employee.workLocation,,-,MISSING,0,Default ONSITE only if client confirms.
Attendance/Payroll Setup,Default schedule/shift,Employee.embeddedSchedule,,-,MISSING,0,Required before attendance obligations and payroll can be trusted.
Payroll,Basic salary,Employee.basicSalary,,-,MISSING,0,Client must provide current payroll rate before payroll migration.
Payroll,Pay frequency,Employee.payFrequency,,-,MISSING,0,Default SEMI_MONTHLY; client only needs to provide exceptions.
Payroll,Currency,Employee.currency,,-,MISSING,0,Default PHP; client only needs to provide exceptions.
Attendance/Payroll Setup,Biometric/RFID ID,Employee.deviceEmpId,,-,MISSING,0,Use for biometric/timekeeping device matching when available.
Statutory IDs,TIN,Document(type=TIN).number,TIN,"TIN (PBCMEY | TIN Library!M1, 100%); TIN (TIN LIBRARY!N1, 100%); TIN (EXPATS!L1, 76%)",MATCH,1,Import as employee TIN document number for BIR/payroll reporting.
Statutory IDs,SSS number,Document(type=SSS).number,,-,MISSING,0,Client must provide SSS number or registration status.
Statutory IDs,PhilHealth number,Document(type=PHILHEALTH).number,,-,MISSING,0,Client must provide PhilHealth number or registration status.
Statutory IDs,Pag-IBIG MID,Document(type=PAGIBIG).number,,-,MISSING,0,Client must provide Pag-IBIG MID/HDMF number or registration status.
Tax History,Previous employer,Employee.employmentHistory.employer,Previous Employer,"Previous Employer (TIN LIBRARY!Q1, 54%); Previous Employer (PBCMEY | TIN Library!P1, 41%); Previous Employer (EXPATS!O1, 0%)",MATCH,0.5361570247933884,Use for annualization or 2316 context when applicable.
Tax History,Previous employment period,Employee.employmentHistory.startDate/endDate,Period of Employment,"Period of Employment (PBCMEY | TIN Library!R1, 0%); Period of Employment (TIN LIBRARY!S1, 0%); Period of Employment (EXPATS!Q1, 0%)",MATCH,0.0013297872340425532,Use with previous employer for tax-history context.
