code,name,description,parentCode
HR,Human Resources,Human resources shared services,
ENG,Engineering,Product engineering department,
PROD-ADMIN,Production/Administration,Production and administrative operations,
PROJ-ENG,Project Engineering,Project engineering department,
PROD-PLAN,Production Planning,Production planning department,
PROD-ASSUR,Product Assurance,Product assurance department,
ASM,Assembly,Assembly operations department,
DECOR,Decoration,Decoration operations department,
PROC-ENG,Process Engineering,Process engineering department,
INJ-MOLD,Injection and Mold Maintenance,Injection and mold maintenance department,
QC,Quality Control,Quality control department,
ACCT,Accounting,Accounting department,
PA-PE-PUR,Product Assurance/Product Engineering/Purchasing,Cross-functional assurance and purchasing department,
PUR,Purchasing,Purchasing department,
PP-PUR,Production Planning/Purchasing,Shared production planning and purchasing department,
QA,Quality Assurance,Quality assurance department,
WH-FAC,Warehouse/Facilities,Warehouse and facilities department,
STRAT-PLAN,Strategic Planning,Strategic planning department,
WH,Warehouse,Warehouse operations department,
SALES,Sales,Sales department,
FAC,Facilities,Facilities operations department,
QCU,Quality & Compliance Unit,Quality and compliance unit,
GA-HR,GA/HR,General affairs and human resources department,
IMP-EXP,Import/Export,Import and export department,
